name,description,Latitude,Longitude
Lez Aval (2ème écluse),"*Abramis brama (Brème commune) - https://inpn.mnhn.fr/espece/cd_nom/67074/tab/carte
*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Blicca bjoerkna (Brème bordelière) https://inpn.mnhn.fr/espece/cd_nom/67203/tab/carte
*Carassius sp. (Carassin)
*Chelon ramada (Mulet porc) https://inpn.mnhn.fr/espece/cd_nom/891948/tab/carte
*Cyprinidae - Complexe 3
*Cyprinidae - Complexe 4
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobio sp. (Gougeon) 
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Micropterus salmoides (Archigan à grande bouche) https://inpn.mnhn.fr/espece/cd_nom/69346/tab/carte
*Mugil cephalus (Poisson queue bleue) https://inpn.mnhn.fr/espece/cd_nom/69772/tab/carte
*Perca fluviatilis (Perche) https://inpn.mnhn.fr/espece/cd_nom/69350/tab/carte
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Salmo sp. (Salmonidés)
*Sander lucioperca (Sandre) https://inpn.mnhn.fr/espece/cd_nom/69372/tab/carte
*Scardinius erythrophthalmus (Rotengle) https://inpn.mnhn.fr/espece/cd_nom/67466/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)",43.576256,3.900307
Lez Aval (confluence Mosson),"*Abramis brama (Brème commune) - https://inpn.mnhn.fr/espece/cd_nom/67074/tab/carte
*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Atherina boyeri (Atherine) https://inpn.mnhn.fr/espece/cd_nom/68833/tab/carte
*Carassius sp. (Carassin)
*Chelon auratus (Mulet doré) https://inpn.mnhn.fr/espece/cd_nom/891947/tab/carte
*Chelon labrosus (Mulet lippu) https://inpn.mnhn.fr/espece/cd_nom/69777/tab/carte
*Chelon ramada (Mulet porc) https://inpn.mnhn.fr/espece/cd_nom/891948/tab/carte
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Dicentrarchus labrax (Bar) https://inpn.mnhn.fr/espece/cd_nom/69317/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Micropterus salmoides (Archigan à grande bouche) https://inpn.mnhn.fr/espece/cd_nom/69346/tab/carte
*Mugil cephalus (Poisson queue bleue) https://inpn.mnhn.fr/espece/cd_nom/69772/tab/carte
*Pomatoschistus sp. (Gobies)
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Sander lucioperca (Sandre) https://inpn.mnhn.fr/espece/cd_nom/69372/tab/carte
*Scardinius erythrophthalmus (Rotengle) https://inpn.mnhn.fr/espece/cd_nom/67466/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)",43.540025,3.900265
Lez Aval (Palavas),"*Abramis brama (Brème commune) - https://inpn.mnhn.fr/espece/cd_nom/67074/tab/carte
*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Atherina boyeri (Atherine) https://inpn.mnhn.fr/espece/cd_nom/68833/tab/carte
*Blicca bjoerkna (Brème bordelière) https://inpn.mnhn.fr/espece/cd_nom/67203/tab/carte
*Carassius sp. (Carassin)
*Chelon auratus (Mulet doré) https://inpn.mnhn.fr/espece/cd_nom/891947/tab/carte
*Chelon labrosus (Mulet lippu) https://inpn.mnhn.fr/espece/cd_nom/69777/tab/carte
*Chelon ramada (Mulet porc) https://inpn.mnhn.fr/espece/cd_nom/891948/tab/carte
*Cyprinidae
*Cyprinidae - Complexe 3
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Dicentrarchus labrax (Bar) https://inpn.mnhn.fr/espece/cd_nom/69317/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobius niger (Gobie noir) https://inpn.mnhn.fr/espece/cd_nom/70142/tab/carte
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Mugil cephalus (Poisson queue bleue) https://inpn.mnhn.fr/espece/cd_nom/69772/tab/carte
*Pomatoschistus sp. (Gobies)
*Pomatoschistus minutus (Gobie des sables) https://inpn.mnhn.fr/espece/cd_nom/70287/tab/carte
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
* Salaria fluviatilis (Blennie fluviatile)(https://inpn.mnhn.fr/espece/cd_nom/1005993/tab/carte
*Sardina pilchardus (Sardine commune) https://inpn.mnhn.fr/espece/cd_nom/67035/tab/carte
*Scardinius erythrophthalmus (Rotengle) https://inpn.mnhn.fr/espece/cd_nom/67466/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte
*Syngnathus sp. (Syngnates)

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)",43.534207,3.917559
Lironde,"*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobio sp. (Gougeon) 
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Phoxinus sp. (Vairon)
*Pomatoschistus sp. (Gobies)
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Myocastor coypus (Ragondin)
",43.647904,3.870803
Lirou,"*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Barbatula sp. (Loche)
*Phoxinus sp. (Vairon)
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Myocastor coypus (Ragondin)
",43.70795,3.865739
T1 Lez Amont,"*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Barbatula sp. (Loche)
*Barbus barbus (Barbeau fluviatile) https://inpn.mnhn.fr/espece/cd_nom/67143/tab/carte
*Cottus sp. (Chabot)
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Perca fluviatilis (Perche) https://inpn.mnhn.fr/espece/cd_nom/69350/tab/carte
*Phoxinus sp. (Vairon)
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)


",43.715163,3.850579
T3 Lavalette,"*Abramis brama (Brème commune) - https://inpn.mnhn.fr/espece/cd_nom/67074/tab/carte
*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Barbatula sp. (Loche)
*Barbus barbus (Barbeau fluviatile) https://inpn.mnhn.fr/espece/cd_nom/67143/tab/carte
*Carassius sp. (Carassin)
*Cottus sp. (Chabot)
*Cyprinidae
*Cyprinidae - Complexe 2
*Cyprinidae - Complexe 3
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobio sp. (Gougeon) 
*Gymnocephalus cernua (Grémille) https://inpn.mnhn.fr/espece/cd_nom/459644/tab/carte
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Leuciscus sp. (Cyprinidés)
*Micropterus salmoides (Archigan à grande bouche) https://inpn.mnhn.fr/espece/cd_nom/69346/tab/carte
*Mugil cephalus (Poisson queue bleue) https://inpn.mnhn.fr/espece/cd_nom/69772/tab/carte
*Perca fluviatilis (Perche) https://inpn.mnhn.fr/espece/cd_nom/69350/tab/carte
*Phoxinus sp. (Vairon)
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Scardinius erythrophthalmus (Rotengle) https://inpn.mnhn.fr/espece/cd_nom/67466/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)",43.645982,3.883141
T4 Clinique du Parc,"*Abramis brama (Brème commune) - https://inpn.mnhn.fr/espece/cd_nom/67074/tab/carte
*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Alosa sp.
*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Barbatula sp. (Loche)
*Barbus barbus (Barbeau fluviatile) https://inpn.mnhn.fr/espece/cd_nom/67143/tab/carte
*Cottus sp. (Chabot)
*Cyprinidae
*Cyprinidae - Complexe 2
*Cyprinidae - Complexe 3
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobio sp. (Gougeon) 
*Gymnocephalus cernua (Grémille) https://inpn.mnhn.fr/espece/cd_nom/459644/tab/carte
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Micropterus salmoides (Archigan à grande bouche) https://inpn.mnhn.fr/espece/cd_nom/69346/tab/carte
*Perca fluviatilis (Perche) https://inpn.mnhn.fr/espece/cd_nom/69350/tab/carte
*Phoxinus sp. (Vairon)
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Scardinius erythrophthalmus (Rotengle) https://inpn.mnhn.fr/espece/cd_nom/67466/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)",43.635889,3.890866
T5 Hôtel de Région,"*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Anguilla anguilla (Anguille) https://inpn.mnhn.fr/espece/cd_nom/66832/tab/carte
*Barbatula sp. (Loche)
*Carassius sp. (Carassin)
*Cyprinidae
*Cyprinidae - Complexe 2
*Cyprinidae - Complexe 3
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobio sp. (Gougeon) 
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Micropterus salmoides (Archigan à grande bouche) https://inpn.mnhn.fr/espece/cd_nom/69346/tab/carte
*Perca fluviatilis (Perche) https://inpn.mnhn.fr/espece/cd_nom/69350/tab/carte
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Sander lucioperca (Sandre) https://inpn.mnhn.fr/espece/cd_nom/69372/tab/carte
*Scardinius erythrophthalmus (Rotengle) https://inpn.mnhn.fr/espece/cd_nom/67466/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)",43.608278,3.897309
T6 Tanneries,"*Alburnus alburnus (Ablette) https://inpn.mnhn.fr/espece/cd_nom/67111/tab/carte
*Atherina boyeri (Atherine) https://inpn.mnhn.fr/espece/cd_nom/68833/tab/carte
*Barbatula sp. (Loche)
*Barbus barbus (Barbeau fluviatile) https://inpn.mnhn.fr/espece/cd_nom/67143/tab/carte
*Carassius sp. (Carassin)
*Cottus sp. (Chabot)
*Cyprinus carpio (Carpe commune) https://inpn.mnhn.fr/espece/cd_nom/67058/tab/carte
*Gambusia holbrooki (Gambusie) https://inpn.mnhn.fr/espece/cd_nom/68827/tab/carte
*Gobio sp. (Gougeon) 
*Lepomis gibbosus (Perche soleil) https://inpn.mnhn.fr/espece/cd_nom/69338/tab/carte
*Perca fluviatilis (Perche) https://inpn.mnhn.fr/espece/cd_nom/69350/tab/carte
*Phoxinus sp. (Vairon)
*Pseudorasbora parva (Gougeon asiatique) https://inpn.mnhn.fr/espece/cd_nom/67415/tab/carte
*Rutilus rutilus (Gardon) https://inpn.mnhn.fr/espece/cd_nom/67422/tab/carte
*Silurus glanis (Silure glane) https://inpn.mnhn.fr/espece/cd_nom/67585/tab/carte
*Squalius cephalus (Chevaine commun) https://inpn.mnhn.fr/espece/cd_nom/67310/tab/carte
*Tinca tinca (Tanche) https://inpn.mnhn.fr/espece/cd_nom/67478/tab/carte

-Lutra lutra (Loutre)
-Myocastor coypus (Ragondin)
-Rattus norvegicus (Surmulot)
",43.661934,3.863872
